codice_territorio,comune,2014,2015,2016,2017
"011014","Framura","30.12","13.61","18.17","25.99",
"011015","La Spezia","13.27","13.98","12.48","14.06",
"011016","Lerici","16.64","15.83","16.19","13.31",
"011017","Levanto","13.5","18.28","15.35","15.11",
"011018","Maissana","20.31","15.94","24.47","18.03",
"011019","Monterosso al Mare","21.66","20.41","11.6","20.07",
"011020","Luni","11.37","12.34","11.57","10.68",
"011021","Pignone","13.54","19.15","14.04","19.26",
"011022","Portovenere","15.32","16.42","14.96","15.43",
"011023","Riccò del Golfo di Spezia","11.53","9.8","11.09","10.58",
"011024","Riomaggiore","21.87","17.05","18.6","22.38",
"011025","Rocchetta di Vara","30.32","18.43","15.71","27.18",
"011026","Santo Stefano di Magra","10.12","12.25","11.69","9.12",
"011027","Sarzana","10.21","13.02","11.07","11.39",
"011028","Sesta Godano","21.29","23.8","19.72","20.74",
"011029","Varese Ligure","19.19","13.7","20.98","26.84",
"011030","Vernazza","14.92","23.36","24.71","22.67",
"011031","Vezzano Ligure","11.35","12.35","10.75","9.96",
"011032","Zignago","12.99","22.54","11.36","28.87",
"012001","Agra","12.99","7.66","17.31","17.03",
"012002","Albizzate","9.91","8.98","11.63","10.17",
"012003","Angera","9.37","11.19","10.72","12.76",
"012004","Arcisate","8.36","8.12","6.92","8.12",
"012005","Arsago Seprio","7.92","10.09","6.9","8.77",
"012006","Azzate","7.97","7.74","6.21","8.51",
"012007","Azzio","11.15","3.77","11.43","9.11",
"012008","Barasso","13.78","19.28","19.26","14.87",
"012009","Bardello","9.58","9.49","12.52","9.29",
"012010","Bedero Valcuvia","4.47","10.46","7.49","13.57",
"012011","Besano","10.84","12.1","10.12","11.59",
"012012","Besnate","8.1","12.06","6.12","8.99",
"012013","Besozzo","8.22","11.07","9.48","10.31",
"012014","Biandronno","5.36","9.19","6.87","7.79",
"012015","Bisuschio","8.28","7.36","8.02","8.08",
"012016","Bodio Lomnago","8.81","11.59","6.92","12.74",
"012017","Brebbia","11.69","13.41","10.1","12.27",
"012018","Bregano","7.02","14.02","6.99","5.8",
"012019","Brenta","8.31","5.65","8.68","16.58",
"012020","Brezzo di Bedero","8.36","9.92","7.47","9.95",
"012021","Brinzio","10.64","11.82","13.23","16",
"012022","Brissago-Valtravaglia","7.06","6.29","9.62","8.14",
"012023","Brunello","10.03","5.07","8.18","3.09",
"012024","Brusimpiano","8.17","9.09","11.66","5.78",
"012025","Buguggiate","9.7","10.39","8.47","11",
"012026","Busto Arsizio","9.74","10.65","9.9","10.53",
"012027","Cadegliano-Viconago","17.38","17.05","12.6","12.84",
"012028","Cadrezzate","6.49","11.47","12.55","8.13",
"012029","Cairate","6.98","10.19","10.5","10.06",
"012030","Cantello","12.45","14.66","12.97","13.8",
"012031","Caravate","8.12","10.88","9","11.23",
"012032","Cardano al Campo","7.35","7.08","8.16","10.22",
"012033","Carnago","6.62","8.88","7.2","7.59",
"012034","Caronno Pertusella","7.97","7.56","6.98","8.23",
"012035","Caronno Varesino","8.65","7.87","8.52","10.64",
"012036","Casale Litta","10.52","8.22","6.69","12.3",
"012037","Casalzuigno","12.75","11.79","14.55","11.75",
"012038","Casciago","11.64","12.03","7.63","13.76",
"012039","Casorate Sempione","8.87","12.57","5.79","10.19",
"012040","Cassano Magnago","8.45","10.25","9.2","10.32",
"012041","Cassano Valcuvia","17.84","10.53","10.5","11.9",
"012042","Castellanza","10.49","10.2","10.6","11.83",
"012043","Castello Cabiaglio","5.19","8.6","8.53","15.61",
"012044","Castelseprio","9.21","11.5","10.74","10.72",
"012045","Castelveccana","13.53","14.02","10.99","10.5",
"012046","Castiglione Olona","6.28","8.38","8.4","8.58",
"012047","Castronno","8.74","7.41","9.33","8.96",
"012048","Cavaria con Premezzo","9.43","9.1","8.08","8.42",
"012049","Cazzago Brabbia","8.54","17.05","14.62","11.1",
"012050","Cislago","6.43","7.57","5.88","9.42",
"012051","Cittiglio","12.2","12.29","11.67","15.9",
"012052","Clivio","7.59","4.56","6.59","10.3",
"012053","Cocquio-Trevisago","10.33","8.86","9.28","10.53",
"012054","Comabbio","11.3","5.23","8.64","11.21",
"012055","Comerio","10.46","12.89","6.73","11.48",
"012056","Cremenaga","8.59","13.65","11.02","8.52",
"012057","Crosio della Valle","6.48","8.12","9.75","3.27",
"012058","Cuasso al Monte","9.6","9.92","6.68","8.07",
"012059","Cugliate-Fabiasco","7.34","8.95","8.05","9.33",
"012060","Cunardo","9.58","10.88","8.55","8.15",
"012061","Curiglia con Monteviasco","16.95","16.71","0","22.6",
"012062","Cuveglio","6.75","13.76","11.81","6.82",
"012063","Cuvio","16.7","11.93","16.19","19.36",
"012064","Daverio","5.16","8.03","5.48","8.13",
"012065","Dumenza","7.45","10.19","10.22","11.49",
"012066","Duno","7.07","7.17","44.78","31.37",
"012067","Fagnano Olona","8.59","10.65","9.09","10.59",
"012068","Ferno","8.47","9.25","7.55","7.14",
"012069","Ferrera di Varese","8.43","8.36","6.86","11.15",
"012070","Gallarate","9.15","10.15","9.82","10.73",
"012071","Galliate Lombardo","4.05","7.12","4.04","11.02",
"012072","Gavirate","10.95","10.61","9.54","9.62",
"012073","Gazzada Schianno","8.61","11.62","7.1","7.54",
"012074","Gemonio","7.29","7.3","8.01","10.78",
"012075","Gerenzano","7.62","7.49","8.85","8.27",
"012076","Germignaga","10.59","8.01","6.95","10.24",
"012077","Golasecca","11.8","8.46","9.61","9.55",
"012078","Gorla Maggiore","7.37","8.59","9.03","7.22",
"012079","Gorla Minore","6.08","10.1","7.58","8.11",
"012080","Gornate Olona","6.68","10.7","5.82","7.7",
"012081","Grantola","4.76","7.07","7.02","9.4",
"012082","Inarzo","4.6","5.56","6.52","5.56",
"012083","Induno Olona","7.61","9.38","10.98","8.67",
"012084","Ispra","11.53","12.53","15.62","12.88",
"012085","Jerago con Orago","6.71","8.45","9.1","9.32",
"012086","Lavena Ponte Tresa","10.88","7.6","8.42","8.36",
"012087","Laveno-Mombello","15.67","18.06","18.34","19.28",
"012088","Leggiuno","10.33","12.89","11.85","14.19",
"012089","Lonate Ceppino","8.9","6.87","7.43","11.78",
"012090","Lonate Pozzolo","7.97","9.64","9.18","7.96",
"012091","Lozza","7.16","7.12","11.9","3.19",
"012092","Luino","10.88","12.63","13.79","12.29",
"012093","Luvinate","7.7","5.35","9.12","5.97",
"012095","Malgesso","5.3","8.39","4.58","6.9",
"012096","Malnate","9.29","10.84","10.71","8.58",
"012097","Marchirolo","8.36","7.23","7.23","10.09",
"012098","Marnate","6.54","9.23","7.22","7.64",
"012099","Marzio","9.15","9.02","14.51","2.78",
"012100","Masciago Primo","10.02","13.51","0","0",
"012101","Mercallo","5.96","11.98","14.33","11.1",
"012102","Mesenzana","8.05","6.04","9.31","5.23",
"012103","Montegrino Valtravaglia","12.05","12.73","6.77","10.85",
"012104","Monvalle","5.02","8.09","9.28","7.21",
"012105","Morazzone","7.7","10.32","7.73","9.8",
"012106","Mornago","7.96","6.35","8.55","9.2",
"012107","Oggiona con Santo Stefano","7.94","7.48","5.36","9.72",
"012108","Olgiate Olona","7.76","9.35","8.95","7.73",
"012109","Origgio","8.77","9.1","7.27","8.76",
"012110","Orino","9.28","9.36","9.43","11.79",
"012111","Osmate","6.18","6.21","14.77","8.55",
"012113","Porto Ceresio","11.6","12.12","11.98","10.95",
"012114","Porto Valtravaglia","9.66","12.61","15.15","12.25",
"012115","Rancio Valcuvia","10.88","6.61","4.39","6.47",
"012116","Ranco","9.12","15.27","11.49","9.28",
"012117","Saltrio","6.57","8.9","9.26","11.82",
"012118","Samarate","8.58","10.23","8.8","10.11",
"012119","Saronno","10.63","10.53","9.68","10.82",
"012120","Sesto Calende","9.75","9.46","10.9","8.99",
"012121","Solbiate Arno","6.61","9.01","8.8","10.78",
"012122","Solbiate Olona","9.34","10.12","9.27","9.49",
"012123","Somma Lombardo","8.47","10.19","10.26","9.33",
"012124","Sumirago","10.32","9.34","8.4","10.87",
"012125","Taino","6.95","11.28","8.91","10.24",
"012126","Ternate","9.09","9.81","8.22","8.17",
"012127","Tradate","10.02","10.38","9.65","11.64",
"012128","Travedona-Monate","10.05","11.86","7.89","7.56",
"012129","Tronzano Lago Maggiore","8.02","12.53","4.18","12.58",
"012130","Uboldo","8.14","9.24","9.04","7.47",
"012131","Valganna","11.93","8.82","8.81","8.68",
"012132","Varano Borghi","9.64","10.96","11.32","13.69",
"012133","Varese","10.89","12.22","12.1","11.09",
"012134","Vedano Olona","9.8","11.4","10.83","9.7",
"012136","Venegono Inferiore","7.48","9.58","6.34","10.11",
"012137","Venegono Superiore","7.17","8.1","8.62","9.99",
"012138","Vergiate","9.41","12.3","11.16","12.37",
"012139","Viggiù","10.58","17.92","13.39","12.98",
"012140","Vizzola Ticino","3.36","7.01","3.48","10.32",
"012141","Sangiano","9.17","5.91","9.21","7.27",
"012142","Maccagno con Pino e Veddasca","11.04","16.02","10.87","14.23",
"013003","Albavilla","10.24","11.16","9.04","11.92",
"013004","Albese con Cassano","11.04","13.72","10.87","17.39",
"013005","Albiolo","2.2","6.21","6.96","6.96",
"013006","Alserio","5.74","5.73","3.24","4.8",
"013007","Alzate Brianza","8.74","8.54","6.77","11.2",
"013009","Anzano del Parco","7.27","10.68","5.61","8.89",
"013010","Appiano Gentile","12.08","15.35","13.49","11",
"013011","Argegno","10.32","11.69","11.88","9.02",
"013012","Arosio","10.31","13.99","9.03","12.59",
"013013","Asso","7.93","13.25","11.69","10.87",
"013015","Barni","5.04","9.99","13.61","5.18",
"013021","Bene Lario","9.09","15.27","11.94","5.93",
"013022","Beregazzo con Figliaro","6.58","11.68","10.58","9.8",
"013023","Binago","6.43","7.89","10.57","6.65",
"013024","Bizzarone","6.5","5.8","6.38","11.93",
"013025","Blessagno","7.25","0","3.65","18.35",
"013026","Blevio","8.37","6.73","13.39","8.39",
"013028","Bregnano","7.71","8.17","8.94","9.41",
"013029","Brenna","5.73","7.05","6.56","7.46",
"013030","Brienno","10.71","0","5.71","8.88",
"013032","Brunate","4.51","6.84","10.9","9.85",
"013034","Bulgarograsso","5.32","8.82","7.51","7.45",
"013035","Cabiate","8.23","8.21","8.36","8.78",
"013036","Cadorago","6.47","7.86","6.07","7.55",
"013037","Caglio","23.55","19.82","15.47","19.82",
"013038","Cagno","5.89","7.33","7.3","7.31",
"013040","Campione d'Italia","8.27","11.9","10.09","19.36",
"013041","Cantù","9.11","9.81","9.07","9.97",
"013042","Canzo","10.93","13.32","15.56","12.41",
"013043","Capiago Intimiano","8.88","11.26","10.98","8.51",
"013044","Carate Urio","10.96","9.33","16.21","8.54",
"013045","Carbonate","7.57","8.89","10.88","10.57",
"013046","Carimate","6.07","6.7","4.45","4.87",
"013047","Carlazzo","5.79","8.02","7.34","11.06",
"013048","Carugo","8.36","7.05","6.06","7.84",
"013050","Casasco d'Intelvi","17.54","15.17","10.55","16.68",
"013052","Caslino d'Erba","7.58","10.68","11.31","10.1",
"013053","Casnate con Bernate","6.14","6.51","6.89","8.09",
"013055","Cassina Rizzardi","8.53","7.6","4.84","5.99",
"013058","Castelmarte","3.06","6.83","3.8","14.63",
"013059","Castelnuovo Bozzente","4.36","4.32","4.34","6.58",
"013060","Castiglione d'Intelvi","4.36","6.86","8.39","6.61",
"013062","Cavargna","12.96","8.79","26.97","23.26",
"013063","Cerano d'Intelvi","11.2","14.59","9.04","3.64",
"013064","Cermenate","8.35","9.24","8.93","8.15",
"013065","Cernobbio","12.04","13.31","11.25","11.71",
"013068","Cirimido","9.45","7.13","7.08","7.98",
"013071","Claino con Osteno","10.97","12.81","18.18","19.71",
"013074","Colonno","5.74","11.75","11.89","1.97",
"013075","Como","10.63","12.41","11.21","12.43",
"013077","Corrido","9.51","9.49","9.62","4.85",
"013083","Cremia","6.92","15.33","5.67","18.9",
"013084","Cucciago","2.87","8.03","6.1","3.53",
"013085","Cusino","21.74","4.41","9.09","9.24",
"013087","Dizzasco","28.1","22.64","30.35","48",
"013089","Domaso","9.41","16.24","13.62","9.48",
"013090","Dongo","15.68","14.27","13.16","13.56",
"013092","Dosso del Liro","21.9","29.8","15.27","3.83",
"013095","Erba","12.42","12.15","12.21","13.4",
"013097","Eupilio","9.24","9.43","10.3","4.98",
"013098","Faggeto Lario","6.53","6.56","9.04","10.68",
"013099","Faloppio","5.22","7.05","7.37","8.21",
"013100","Fenegrò","6.26","8.09","8.68","8.34",
"013101","Figino Serenza","6.1","7.44","11.08","8.86",
"013102","Fino Mornasco","7.64","7.52","9.25","7.71",
"013106","Garzeno","26.94","13.61","25.11","24.66",
"013107","Gera Lario","5.91","15.66","11.68","9.71",
"013110","Grandate","10.17","7.36","9.76","10.49",
"013111","Grandola ed Uniti","11.32","13.7","9.21","9.99",
"013113","Griante","9.52","14.26","12.7","18.93",
"013114","Guanzate","8.62","6.56","6.74","8.44",
"013118","Inverigo","8.99","8.44","7.08","7.41",
"013119","Laglio","8.78","7.86","13.53","10.1",
"013120","Laino","3.91","19.76","8.14","16",
"013121","Lambrugo","9.25","8.48","8.42","10.69",
"013123","Lasnigo","10.53","12.49","4.13","14.55",
"013126","Lezzeno","11.62","12.12","9.68","13.91",
"013128","Limido Comasco","6.67","5.9","7.77","4.71",
"013129","Lipomo","6.83","8.52","11.04","9.29",
"013130","Livo","21.62","28.25","17.29","23.12",
"013131","Locate Varesino","7.56","7.8","8.72","11.99",
"013133","Lomazzo","8.17","8.99","8.48","9.96",
"013134","Longone al Segrino","6.97","8.53","7.43","8.45",
"013135","Luisago","10.99","9.84","7.62","8.34",
"013136","Lurago d'Erba","6.46","8.3","7.39","7.43",
"013137","Lurago Marinone","5.11","6.62","8.53","5.81",
"013138","Lurate Caccivio","11.01","8.87","9.66","8.59",
"013139","Magreglio","2.99","12","7.5","5.99",
"013143","Mariano Comense","7.37","7.84","7.31","7.8",
"013144","Maslianico","9.51","8.96","9.93","10.23",
"013145","Menaggio","13.29","11.43","14.44","11.29",
"013147","Merone","7.62","9.82","9.67","9.24",
"013152","Moltrasio","8.74","9.94","14.3","8.05",
"013153","Monguzzo","9.13","8.67","6.48","7.7",
"013154","Montano Lucino","5.98","7.47","7.55","9.6",
"013155","Montemezzo","4.12","12.4","16.63","12.88",
"013157","Montorfano","8.3","10.31","13.9","11.66",
"013159","Mozzate","7.34","8.82","7.47","8.36",
"013160","Musso","9.14","7.06","12.03","13.1",
"013161","Nesso","12","12.81","12.07","11.33",
"013163","Novedrate","6.86","9.65","7.92","7.55",
"013165","Olgiate Comasco","7.81","8.2","8.79","8.6",
"013169","Oltrona di San Mamette","3.83","7.59","5.86","7.09",
"013170","Orsenigo","7.22","3.57","4.97","9.33",
"013178","Peglio","11.87","5.95","17.49","11.05",
"013183","Pianello del Lario","16.24","10.42","11.46","20.34",
"013184","Pigra","11.41","26.87","15.69","24.19",
"013185","Plesio","4.76","21.42","8.31","16.57",
"013186","Pognana Lario","12.1","9.39","12.31","17.11",
"013187","Ponna","23.03","11.72","12.07","16.6",
"013188","Ponte Lambro","9.28","10.54","9.5","9.99",
"013189","Porlezza","9.05","11.66","11.01","8.5",
"013192","Proserpio","7.68","9.79","7.62","8.66",
"013193","Pusiano","5.95","9.59","8.78","10.95",
"013195","Rezzago","25.64","16.16","6.49","6.47",
"013197","Rodero","1.55","9.14","6.81","5.93",
"013199","Ronago","7.44","6.88","6.37","6.41",
"013201","Rovellasca","8.34","8.38","8.49","9.61",
"013202","Rovello Porro","9.35","8.53","9.55","10.93",
"013203","Sala Comacina","31.44","59.03","83.41","58.22",
"013204","San Bartolomeo Val Cavargna","12.62","13.66","13.7","9.87",
"013205","San Fedele Intelvi","15.66","6.13","11.55","9.84",
"013206","San Fermo della Battaglia","10.71","10.09","9.07","9.54",
"013207","San Nazzaro Val Cavargna","6.1","24.92","9.72","9.92",
"013211","Schignano","7.05","4.66","8.13","15.3",
"013212","Senna Comasco","5.29","6.2","7.77","3.44",
"013215","Solbiate","11.35","10.52","8.9","10.75",
"013216","Sorico","14.39","6.39","14.38","15.82",
"013217","Sormano","14.23","7.9","10.96","20.49",
"013218","Stazzona","3.19","16.09","17.9","9.85",
"013222","Tavernerio","6.24","7.96","5.7","8.27",
"013223","Torno","11.84","29.93","19.21","14.96",
"013226","Trezzone","0","0","12.61","4.28",
"013227","Turate","8.07","7.17","7.75","8.22",
"013228","Uggiate-Trevano","6.72","9.26","11.55","10.49",
"013229","Valbrona","10.77","11.07","11.09","14.23",
"013232","Valmorea","9.02","7.5","7.51","9.39",
"013233","Val Rezzo","0","5.75","23.12","17.39",
"013234","Valsolda","11.93","10.79","9.64","14.19",
"013236","Veleso","24.05","21.05","26.37","22.57",
"013238","Veniano","5.77","6.08","6.04","7.61",
"013239","Vercana","11.84","10.57","6.61","11.9",
"013242","Vertemate con Minoprio","10.31","8.58","7.56","9.17",
"013245","Villa Guardia","8.62","8.85","7.2","8.55",
"013246","Zelbio","4.76","14.18","0","18.78",
"013248","San Siro","10.25","13.17","7.48","12.64",
"013249","Gravedona ed Uniti","12.47","12.28","11.4","12.86",
"013250","Bellagio","16.24","17.73","18.12","12.81",
"013251","Colverde","6.46","9.21","6.65","7.23",
"013252","Tremezzina","8.52","9.27","9.09","9.93",
"013253","Alta Valle Intelvi","12.04","12.77","13.46","10.59",
"014001","Albaredo per San Marco","3.05","12.46","16.08","3.29",
"014002","Albosaggia","11.47","13.5","12.97","12.8",
"014003","Andalo Valtellino","8.93","14.44","10.93","17.7",
"014004","Aprica","10.12","4.42","9.47","8.86",
"014005","Ardenno","10.13","9.5","12.28","6.44",
"014006","Bema","8.1","40.49","8.33","17.02",
"014007","Berbenno di Valtellina","11.73","11.12","9.8","12.28",
"014008","Bianzone","12.33","12.39","9.27","12.93",
"014009","Bormio","8.81","9.48","10.14","9.33",
"014010","Buglio in Monte","7.82","6.42","8.94","8.95",
"014011","Caiolo","10.26","9.29","11.08","8.31",
"014012","Campodolcino","4.06","9.12","15.46","13.79",
"014013","Caspoggio","4.19","8.46","4.28","10.11",
"014014","Castello dell'Acqua","11.1","16.03","9.55","7.91",
"014015","Castione Andevenno","11.56","7.02","9.54","10.18",
"014016","Cedrasco","4.31","8.59","6.55","20.04",
"014017","Cercino","8.97","8.9","11.51","10.39",
"014018","Chiavenna","12.8","13.56","15.08","12.01",
"014019","Chiesa in Valmalenco","7.84","9.9","9.98","9.24",
"014020","Chiuro","13.85","9.9","11.4","14.1",
"014021","Cino","16.33","8.22","5.63","17.65",
"014022","Civo","9.95","10.8","15.33","7.19",
"014023","Colorina","9.04","9.86","12.07","12.01",
"014024","Cosio Valtellino","7.84","10.56","8.15","9.23",
"014025","Dazio","6.91","6.7","8.88","15.73",
"014026","Delebio","14.72","8.46","10.51","13.81",
"014027","Dubino","13.41","12.27","12.17","16.95",
"014028","Faedo Valtellino","8.83","10.58","17.89","5.42",
"014029","Forcola","13.34","9.81","11.17","16.28",
"014030","Fusine","18.53","17.23","12.16","13.95",
"014031","Gerola Alta","11.46","24.17","24.39","5.85",
